TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
6/9/2024,27.6,35.4,30.6,67,0,6.8,3,330,1,C
7/9/2024,26,35.2,30.4,64,0,7,4,120,2,C
8/9/2024,27.4,34.8,30.1,67,0,8,12,330,2,C
9/9/2024,28,33,28.6,74,0,7.9,8,320,2,C
10/9/2024,25.8,31.6,28,80,22.4,6.5,4,320,1,C
11/9/2024,25,34.2,29.6,67,0,1.6,5,120,1,C
12/9/2024,26.8,32.8,28.9,74,0,4.1,6,230,2,C
13-09-2024,24,32.4,27.6,79,48.7,4.9,7,90,1,C
14-09-2024,25,33.6,28.9,66,0,5.8,7,340,1,C
15-09-2024,25,33.6,28.8,69,0,5,4,340,1,C
16-09-2024,26.2,33.6,29,67,0,7.9,5,310,2,C
17-09-2024,26.8,33.6,28.8,65,0,6.5,4,310,2,NW
18-09-2024,26,33.2,28.3,67,0,5,8,320,2,C
19-09-2024,25,32.6,28.5,62,0,7.9,4,320,1,C
20-09-2024,26.4,32.6,29.1,71,0,8,5,320,1,C
21-09-2024,27,33.2,29.4,71,0,7.6,4,360,2,C
22-09-2024,27.2,34.4,29.8,76,0,8,5,340,1,C
23-09-2024,26,33.4,29.9,76,0,3.6,3,120,1,C
24-09-2024,26.4,33.4,28,82,0,4.5,5,150,1,C
25-09-2024,26.4,33.4,27.3,80,2,2.3,5,320,1,C
26-09-2024,23.6,33,27.6,81,44.4,6.2,8,300,1,C
27-09-2024,25,33.6,28.7,81,55,6,3,80,0,C
28-09-2024,25.6,34.6,30.6,73,0,8,5,60,2,C
29-09-2024,27.6,34.4,30.1,73,0,6.3,3,120,1,C
30-09-2024,27.2,34.6,30.1,71,0,7,3,70,1,C
1/10/2024,26,34.2,30.2,71,0,8,4,310,1,C
2/10/2024,27.8,34,30.5,70,0,8,5,320,1,C
3/10/2024,28.2,33.8,30.3,69,8888,6.8,4,110,1,C
4/10/2024,27.4,34.6,30.4,69,0,2.2,6,360,1,C
5/10/2024,26,32.6,29.6,72,0,5.4,6,350,2,C
6/10/2024,27.2,32.4,29.7,72,8888,7.5,6,320,1,C
7/10/2024,27,35.8,30.5,62,0,5.5,5,140,1,C
8/10/2024,27.4,34.8,30.6,64,0,8,6,320,1,C
9/10/2024,26,33.8,30.2,69,0,6.8,4,300,1,C
10/10/2024,28.2,34.2,30.9,69,0,8,7,320,1,C
11/10/2024,28.2,35.4,31,68,0,7.9,3,70,1,C
12/10/2024,28,34.6,30.6,70,0,8,5,340,1,C
13-10-2024,26,31.4,29.5,77,0,2.6,5,340,1,C
14-10-2024,27.2,32.4,29.6,73,0,0.4,4,340,1,C
15-10-2024,27,33.2,28.9,73,2.2,2.5,3,240,1,C
16-10-2024,26.8,34.6,30,72,0,3,4,330,1,C
17-10-2024,25,34,29.1,62,0,7.3,5,330,1,C
18-10-2024,26.2,33.6,29.4,64,0,8,4,310,1,C
19-10-2024,27.2,33.2,29.9,69,0,8,3,10,1,C
20-10-2024,27,36.4,31.1,60,0,8,7,290,2,C
21-10-2024,25,33.8,30.1,64,0,8,5,300,1,C
22-10-2024,27.4,34.6,30.3,67,0,5.7,5,320,1,C
23-10-2024,28,34.2,30.4,69,0,8,4,160,1,C
24-10-2024,26,33.6,29.4,74,46.6,6.6,3,310,1,C
25-10-2024,25,33.8,28.2,80,5,2.3,4,330,1,C
26-10-2024,25.4,34.2,30.2,68,7.6,5,5,340,1,C
27-10-2024,27.4,34.2,30.1,71,0,8,8,330,2,C
28-10-2024,27.2,34.6,30.2,67,0,8,7,340,1,C
29-10-2024,26,34,30.8,69,0,0.6,4,300,1,C
30-10-2024,28,34.4,30.9,65,0,6.5,5,210,1,C
31-10-2024,27.4,34.6,30.4,70,0,6.5,3,340,1,C
1/11/2024,27.4,35,30.3,68,0,6.3,3,330,1,C
2/11/2024,26,34.6,28.9,79,0,2.6,10,320,2,C
3/11/2024,25.6,32.8,27.7,79,24.5,6.2,5,320,1,C
4/11/2024,25,31.4,27.6,82,18.4,5.1,3,30,1,C
5/11/2024,25.2,33.6,28.6,78,0,2.8,6,320,2,C
6/11/2024,25,33.4,29.3,73,14.5,6,5,100,1,C
7/11/2024,26.8,33.4,29.5,75,0,3.5,4,300,1,C
8/11/2024,26.8,33.8,30,70,0,3.5,4,300,1,C
9/11/2024,27.8,33.6,29.1,76,0,5.7,3,320,1,C
10/11/2024,25,33.2,28.7,77,0,4.9,4,300,1,C
11/11/2024,27.2,33.4,28.6,79,0,3.3,5,330,1,C
12/11/2024,25.4,31.8,28.3,80,5.6,2.8,3,320,1,C
13-11-2024,26.4,34.8,29.6,74,1.2,2.4,5,310,1,C
14-11-2024,26,34.6,30,76,0,4.6,5,320,1,C
15-11-2024,27.2,34.4,30,73,0,5,4,10,1,C
16-11-2024,27.8,32.4,28.6,84,1,3.5,4,320,1,C
17-11-2024,26.2,33.6,29.6,78,7.2,1.2,5,310,1,C
18-11-2024,26,32.8,28.6,83,17.8,3.4,6,320,2,C
19-11-2024,26.8,34,29.2,78,0,5.8,5,320,1,C
20-11-2024,26.2,33.6,29.5,75,8,4.4,4,250,1,C
21-11-2024,26.8,33.2,29.7,75,0,4.2,7,330,1,C
22-11-2024,25,34.4,29.4,74,0,5.6,6,270,2,C
23-11-2024,26.6,34.4,29,77,0,5.5,3,270,1,C
24-11-2024,26.4,35.2,29.6,73,0,2.4,5,310,1,C
25-11-2024,27,34,30.1,72,0,3.8,6,250,2,C
26-11-2024,26,34,28.9,76,0,3.1,5,330,1,C
27-11-2024,27.2,32.6,29,79,1.6,5.5,6,340,1,C
28-11-2024,25.4,33.8,29.4,72,50,2.3,5,240,2,W
29-11-2024,26.4,35,29.8,67,0.6,2,10,260,2,C
30-11-2024,25,35.2,30.4,66,0,0.9,5,230,2,W
1/12/2024,27.6,35.4,30.4,68,0.6,2.5,6,220,3,SW
2/12/2024,26.4,35.2,29.3,72,5,6.8,8,100,3,W
3/12/2024,26,31.4,27.3,79,26,1.4,6,270,2,C
4/12/2024,25,30,27.1,83,4,0.5,5,250,2,W
5/12/2024,25,32.2,27.7,82,10.4,0,5,260,1,C
6/12/2024,25.2,29.6,27.1,86,48.2,1.5,3,200,0,C
7/12/2024,25.4,31.6,27.7,87,8888,0.2,3,330,0,C
8/12/2024,25,32,28.2,82,30.4,1.4,5,320,1,C
9/12/2024,26,32,27.5,85,0,1.5,3,30,0,C
10/12/2024,25.4,31.8,27.7,82,26,0,6,260,3,W
11/12/2024,26.4,33.8,29.7,71,0.7,0.3,5,320,1,C
12/12/2024,25,34.4,29.7,69,1,2.4,6,250,2,W
13-12-2024,27.2,32.4,30.1,68,0,4,4,320,1,C
14-12-2024,27,32.2,28.4,75,0,3.1,7,220,2,W
15-12-2024,27.2,32.8,28.3,78,0,0.2,3,300,1,C
16-12-2024,25.2,31,28.4,79,18.5,0.3,4,220,1,C
17-12-2024,25.4,32.2,28.3,82,6.5,0.5,3,180,1,C
18-12-2024,25.4,33.4,29.1,72,8888,2,4,300,2,W
19-12-2024,26,32,28.1,82,1.2,4.2,5,220,1,C
20-12-2024,25,32,28.1,82,56,1.9,3,230,1,C
21-12-2024,25.6,31.4,28.1,81,10.2,2.6,6,270,2,C
22-12-2024,25.6,30.6,27.8,87,19,1.6,4,330,1,C
23-12-2024,26,30,26.9,93,43.8,2.5,4,300,1,C
24-12-2024,24.4,31.4,28,79,17,0,3,330,1,C
25-12-2024,25.4,31.4,27.9,86,3.4,0.6,3,280,1,C
26-12-2024,26,33.6,29.4,74,8.2,0,6,240,1,C
27-12-2024,25.2,32.4,29.2,78,0,1.2,5,280,2,C
28-12-2024,27.2,34.2,30,70,0,3.8,4,300,2,C
29-12-2024,27.8,33,29.7,73,0,3,3,270,1,C
30-12-2024,24.8,32.4,28.4,76,1,1.8,6,240,2,SW
31-12-2024,25.2,32.4,28.4,76,1.6,2.4,5,270,2,W
1/1/2025,26.4,32.4,29.1,75,0,5.6,5,290,2,W
2/1/2025,27,33,29.2,75,0,2.5,7,300,1,C
3/1/2025,25,32,28.5,76,0,6.9,13,31,2,C
4/1/2025,26.6,34.6,30.1,65,0,2.4,4,260,1,C
5/1/2025,26,34.2,28.7,78,0,2.1,4,250,1,C
6/1/2025,25.2,33.4,28.6,77,18.4,3.4,5,300,1,C
7/1/2025,26,33.4,29.3,75,0,5.5,5,310,2,C
8/1/2025,25.2,32.4,28.1,83,9,1.7,5,320,1,C
9/1/2025,24.2,30.4,26.5,88,71,3.9,3,250,1,C
10/1/2025,24.8,32.2,28.6,78,6.5,0.2,6,280,1,C
11/1/2025,24.8,31.6,27.9,83,23.2,1.6,4,260,1,C
12/1/2025,25,33.2,28.9,73,2,3.7,4,250,1,C
13-01-2025,26.8,31,28.5,79,0,3,4,280,2,W
14-01-2025,26.6,30,26.9,88,29.2,1.8,5,320,1,C
15-01-2025,24.2,33,28.3,79,18,0.3,5,300,2,SW
16-01-2025,24,31.2,29.1,75,0,4.1,4,220,2,W
17-01-2025,27,32,28.8,79,0,2.5,4,280,1,C
18-01-2025,24,32,27,86,38.5,4.2,3,260,1,C
19-01-2025,24.6,32,29.3,75,6.4,1.5,5,310,2,W
20-01-2025,24.4,31,25.7,92,29.2,5.8,3,270,1,C
21-01-2025,24,30.4,26.8,87,60,0.3,4,290,1,C
22-01-2025,24.6,31.4,27.4,82,22.1,0.2,3,280,1,C
23-01-2025,25,31.8,28.2,78,0,1.2,3,280,1,C
24-01-2025,25,31.2,28.1,81,0,1.1,3,250,1,C
25-01-2025,25.6,32,27.3,83,2,2,4,280,1,C
26-01-2025,26,32.8,28.4,80,0,1.2,4,230,1,C
27-01-2025,25,30.6,28,77,0.5,3.8,3,230,1,C
28-01-2025,26.4,28.4,27.2,86,0,0,3,310,1,C
29-01-2025,23.8,29.8,26.9,85,184.8,0,6,260,2,W
30-01-2025,24.2,30.2,27.5,80,8.3,0,5,290,2,C
31-01-2025,24.4,31.4,27.6,84,9.5,4.7,6,260,2,W
1/2/2025,25.4,31,28.4,78,1,2.2,3,280,1,W
2/2/2025,25,30.4,28.5,82,1.3,1,5,330,2,NW
3/2/2025,27.4,30.4,28.8,79,0,1.6,3,30,1,C
4/2/2025,26.8,31.6,28.2,83,0,0,6,230,1,C
5/2/2025,25,31.4,28.1,78,1,0,6,270,2,W
6/2/2025,26.2,31.2,28.5,77,13.8,6.5,5,300,2,C
7/2/2025,25,31.4,28.1,82,8.4,2,4,320,1,C
8/2/2025,23.6,31.8,26.9,84,75.3,4.6,3,250,1,C
9/2/2025,25,30.4,28.2,79,0.3,1.8,5,280,1,C
10/2/2025,26.2,31,27.9,80,1.7,4.8,3,280,1,C
11/2/2025,25,31.4,28.2,82,1.1,2.6,4,300,1,C
12/2/2025,26.2,33.4,28.7,81,0.8,3.4,4,320,1,C
13-02-2025,26.2,35.6,30.4,70,0,6.4,4,280,1,C
14-02-2025,25.2,33.4,29.2,76,0,7.4,7,250,2,SW
15-02-2025,27,30.4,28.6,79,8888,3.7,5,280,1,C
16-02-2025,27,32.6,28.8,78,1.6,6.1,4,220,1,C
17-02-2025,25,32,26.6,89,0.6,2.3,2,230,1,C
18-02-2025,24.8,32,27,86,27.9,0.2,5,270,1,C
19-02-2025,25.2,31,27.4,85,5,0.5,3,240,1,C
20-02-2025,24,31.6,27.2,83,18.6,3.8,6,290,1,C
21-02-2025,24.2,31.4,28.5,79,0,6.7,5,290,2,C
22-02-2025,26.6,30,27.6,85,2,1.6,3,340,1,C
23-02-2025,24,29.4,27.1,85,5.5,0.2,3,310,1,C
24-02-2025,24.2,31.2,27.3,87,87.7,0.4,4,270,1,C
25-02-2025,25.2,32,28,80,0.2,3.5,4,340,1,C
26-02-2025,25,30,27.6,82,0,2.4,2,300,1,C
27-02-2025,26,31.4,28.2,81,0,0.6,4,230,1,C
28-02-2025,25.4,32.6,28.5,80,8.4,6.2,4,300,1,C
1/3/2025,25,32,28.6,79,2,5.3,3,340,1,C
2/3/2025,26.4,32,28.9,81,0,8,5,300,2,C
3/3/2025,25.8,32.6,28.5,81,0,4.4,3,50,1,C
4/3/2025,24.2,30.6,27.5,83,40.5,0,3,300,1,C
5/3/2025,25.4,33.4,28.9,78,8888,0,3,320,1,C
6/3/2025,26.2,34,29.6,76,0,2.4,5,300,1,C
7/3/2025,24.2,33.2,29.3,72,8888,0.4,4,250,1,C
8/3/2025,26.4,32.4,28.4,78,8888,0,5,310,2,C
9/3/2025,26,32.8,28.7,78,8888,0,4,290,1,C
10/3/2025,25,31.2,28.5,78,0,0,3,100,1,C
11/3/2025,26.4,32.2,28.8,78,0,1.2,5,290,1,C
12/3/2025,26.6,33.6,29.6,74,0,3.2,4,300,1,C
13-03-2025,25,32.4,29.4,76,0,3.7,5,280,1,C
14-03-2025,26.6,34.6,29,73,0,2.5,5,300,2,W
15-03-2025,26,32.6,28.6,74,1.3,6,5,240,1,C
16-03-2025,24,33.6,29.3,72,0.6,2,5,250,2,C
17-03-2025,27,31.2,28.5,80,0,4.2,5,310,1,C
